Ticker,Date/Time,Open,High,Low,Close,Volume,OpenInt,OpenInt
KRAS,10/27/2022 10:00:00,376.00,378.00,376.00,378.00,124000,31113400,31113400
KRAS,10/27/2022 10:05:00,378.00,378.00,376.00,376.00,1141800,-366810208,-366810208
KRAS,10/27/2022 10:10:00,376.00,376.00,376.00,376.00,200,-75200,-75200
KRAS,10/27/2022 10:15:00,376.00,378.00,376.00,378.00,35500,9649000,9649000
KRAS,10/27/2022 10:20:00,376.00,378.00,376.00,378.00,22000,-6990200,-6990200
KRAS,10/27/2022 10:25:00,378.00,378.00,378.00,378.00,101700,38442600,38442600
KRAS,10/27/2022 10:30:00,378.00,378.00,376.00,378.00,25200,1834800,1834800
KREN,10/27/2022 09:00:00,50.00,50.00,50.00,50.00,19700,985000,985000
KREN,10/27/2022 09:05:00,50.00,50.00,50.00,50.00,35500,1775000,1775000
KREN,10/27/2022 09:10:00,50.00,50.00,50.00,50.00,24500,1225000,1225000
KREN,10/27/2022 09:15:00,50.00,50.00,50.00,50.00,8100,405000,405000
KREN,10/27/2022 09:20:00,50.00,50.00,50.00,50.00,26500,1325000,1325000
KREN,10/27/2022 09:25:00,50.00,50.00,50.00,50.00,28000,1400000,1400000
KREN,10/27/2022 09:30:00,50.00,50.00,50.00,50.00,11000,550000,550000
KREN,10/27/2022 09:35:00,50.00,50.00,50.00,50.00,10800,540000,540000
KREN,10/27/2022 09:40:00,50.00,50.00,50.00,50.00,9500,475000,475000
KREN,10/27/2022 09:45:00,50.00,50.00,50.00,50.00,11800,590000,590000
KREN,10/27/2022 09:50:00,50.00,50.00,50.00,50.00,16600,830000,830000
KREN,10/27/2022 09:55:00,50.00,50.00,50.00,50.00,104700,5235000,5235000
KREN,10/27/2022 10:00:00,50.00,50.00,50.00,50.00,8300,415000,415000
KREN,10/27/2022 10:05:00,50.00,50.00,50.00,50.00,5700,285000,285000
KREN,10/27/2022 10:10:00,50.00,50.00,50.00,50.00,5900,295000,295000
KREN,10/27/2022 10:15:00,50.00,50.00,50.00,50.00,3400,170000,170000
KREN,10/27/2022 10:20:00,50.00,50.00,50.00,50.00,4400,220000,220000
KREN,10/27/2022 10:25:00,50.00,50.00,50.00,50.00,900,45000,45000
KREN,10/27/2022 10:30:00,50.00,50.00,50.00,50.00,7800,390000,390000
KRYA,10/27/2022 09:00:00,404.00,420.00,396.00,402.00,10358200,479867808,479867808
KRYA,10/27/2022 09:05:00,400.00,402.00,396.00,400.00,2650000,-549351232,-549351232
KRYA,10/27/2022 09:10:00,400.00,400.00,396.00,398.00,1389400,-238652176,-238652176
KRYA,10/27/2022 09:15:00,398.00,400.00,398.00,400.00,423500,80981600,80981600
KRYA,10/27/2022 09:20:00,402.00,404.00,400.00,400.00,1439700,-262628208,-262628208
KRYA,10/27/2022 09:25:00,400.00,402.00,398.00,400.00,1227700,-472902784,-472902784
KRYA,10/27/2022 09:30:00,398.00,400.00,396.00,396.00,591700,-191753600,-191753600
KRYA,10/27/2022 09:35:00,398.00,400.00,396.00,400.00,828600,-117739384,-117739384
KRYA,10/27/2022 09:40:00,400.00,402.00,398.00,400.00,1356200,-436930816,-436930816
KRYA,10/27/2022 09:45:00,400.00,402.00,400.00,402.00,336000,-19359600,-19359600
KRYA,10/27/2022 09:50:00,400.00,400.00,398.00,400.00,571600,-172724192,-172724192
KRYA,10/27/2022 09:55:00,400.00,400.00,396.00,398.00,793900,-195889792,-195889792
KRYA,10/27/2022 10:00:00,398.00,400.00,396.00,398.00,1151100,-361247008,-361247008
KRYA,10/27/2022 10:05:00,398.00,398.00,398.00,398.00,143300,-57033400,-57033400
KRYA,10/27/2022 10:10:00,398.00,402.00,398.00,402.00,586400,-178103808,-178103808
KRYA,10/27/2022 10:15:00,400.00,402.00,398.00,400.00,921800,-321963008,-321963008
KRYA,10/27/2022 10:20:00,400.00,400.00,400.00,400.00,165200,-44640000,-44640000
KRYA,10/27/2022 10:25:00,400.00,400.00,398.00,400.00,622500,-245732000,-245732000
KRYA,10/27/2022 10:30:00,400.00,400.00,396.00,400.00,671100,-143805008,-143805008
KUAS,10/27/2022 09:00:00,71.00,71.00,70.00,71.00,150900,-6494400,-6494400
KUAS,10/27/2022 09:05:00,71.00,71.00,71.00,71.00,20000,1420000,1420000
KUAS,10/27/2022 09:15:00,71.00,71.00,71.00,71.00,468200,14853200,14853200
KUAS,10/27/2022 09:20:00,71.00,71.00,70.00,71.00,237700,8078300,8078300
KUAS,10/27/2022 09:25:00,71.00,71.00,70.00,70.00,31400,396400,396400
KUAS,10/27/2022 09:30:00,70.00,70.00,70.00,70.00,5300,-371000,-371000
KUAS,10/27/2022 09:35:00,70.00,71.00,70.00,71.00,211400,-14487800,-14487800
KUAS,10/27/2022 09:40:00,71.00,71.00,70.00,71.00,74900,3823300,3823300
KUAS,10/27/2022 09:45:00,71.00,71.00,71.00,71.00,28500,2023500,2023500
KUAS,10/27/2022 09:50:00,71.00,71.00,70.00,70.00,143000,-9587000,-9587000
KUAS,10/27/2022 09:55:00,70.00,70.00,70.00,70.00,106800,-7476000,-7476000
KUAS,10/27/2022 10:00:00,70.00,70.00,70.00,70.00,470700,-32949000,-32949000
KUAS,10/27/2022 10:10:00,70.00,71.00,70.00,71.00,34100,-413000,-413000
KUAS,10/27/2022 10:20:00,70.00,71.00,70.00,70.00,20100,-1378800,-1378800
KUAS,10/27/2022 10:25:00,70.00,70.00,70.00,70.00,200,-14000,-14000
KUAS,10/27/2022 10:30:00,71.00,71.00,70.00,71.00,532000,-33743200,-33743200
LABA,10/27/2022 09:00:00,133.00,133.00,132.00,132.00,7800,-1029700,-1029700
LABA,10/27/2022 09:05:00,133.00,133.00,133.00,133.00,6100,811300,811300
